Betreuungsbezirk Nr,Betreuungsbezirk,Einrichtungsnummer,Einrichtungsname,Einrichtungsadresse,PLZ,Telefon,Anzahl Plätze,Einrichtungsart,Trägernummer,Trägername,Trägerart,Anschrift,Latitude,Longitude
1,Mitte,1010010,Kita F.A.I.R.play,Albrechtstr. 020,10117,281 64 73,69.0,Kindertagesstätte,1224,GFJ - gemeinnützige Gesellschaft für Familien- und Jugendhilfe mbH,Sonstiger freier Träger,"Albrechtstr. 020, 10117, Berlin",52.5232572,13.3837929
1,Mitte,1010030,FRÖBEL Kindergarten Casa Fantasia,Anklamer Str. 038,10115,030 48495184,69.0,Kindertagesstätte,1227,Fröbel Bildung und Erziehung gGmbH,Sonstiger freier Träger,"Anklamer Str. 038, 10115, Berlin",52.5341301,13.3944427
1,Mitte,1010080,Kita Regenbogen,Fehrbelliner Str. 080,10119,449 32 38,91.0,Kindertagesstätte,1202,Pfefferwerk Stadtkultur gGmbH,Sonstiger freier Träger,"Fehrbelliner Str. 080, 10119, Berlin",52.5320888,13.4067281
1,Mitte,1010100,"FRÖBEL Kindergarten ""Schatzinsel""",Fischerinsel 008,10179,030 2013788,234.0,Kindertagesstätte,1227,Fröbel Bildung und Erziehung gGmbH,Sonstiger freier Träger,"Fischerinsel 008, 10179, Berlin",52.5134456,13.4073396
1,Mitte,1010110,Kita Französische Str. 16a u. 16b,Französische Str. 016,10117,208 92 14,180.0,Kindertagesstätte,1318,Kinder im Kiez gGmbH,Sonstiger freier Träger,"Französische Str. 016, 10117, Berlin",52.5147689,13.3893444
1,Mitte,1010130,Kita Pelikan,Friedrichstr. 129F,10117,2824385,190.0,Kindertagesstätte,1339,Kinder- und Jugend der Volkssolidarität Berlin gGmbH,Sonstiger freier Träger,"Friedrichstr. 129F, 10117, Berlin",52.5257708,13.3843197
1,Mitte,1010150,Kita Gartenstr. 107/Kigä City,Gartenstr. 107,10115,2828337,140.0,Kindertagesstätte,120,Kindergärten City,Eigenbetrieb,"Gartenstr. 107, 10115, Berlin",52.529580949999996,13.392065560980242
1,Mitte,1010170,Kita Kinderakademie,Habersaathstr. 013,10115,2824496,150.0,Kindertagesstätte,1224,GFJ - gemeinnützige Gesellschaft für Familien- und Jugendhilfe mbH,Sonstiger freier Träger,"Habersaathstr. 013, 10115, Berlin",52.5324615,13.3792391
1,Mitte,1010180,Lichtenberger Straße 32/33,Lichtenberger Str. 032-33,10179,2492179,190.0,Kindertagesstätte,120,Kindergärten City,Eigenbetrieb,"Lichtenberger Str. 032-33, 10179, Berlin",52.5176426,13.4276161
1,Mitte,1010200,Kita Jerusalemer Str. 10/12/Kigä City,Jerusalemer Str. 010,10117,20216803,185.0,Kindertagesstätte,120,Kindergärten City,Eigenbetrieb,"Jerusalemer Str. 010, 10117, Berlin",52.511637,13.3966151
1,Mitte,1010280,"FRÖBEL Kindergarten ""Traumzauberbaum""",Mollstr. 007A,10178,030 2419156,240.0,Kindertagesstätte,1227,Fröbel Bildung und Erziehung gGmbH,Sonstiger freier Träger,"Mollstr. 007A, 10178, Berlin",52.524558,13.4209792
1,Mitte,1010330,Kita Umka,Leipziger Str. 047,10117,83176995,65.0,Kindertagesstätte,8368,MITRA bilinguale Kindergärten gemeinnützige GmbH,Sonstiger freier Träger,"Leipziger Str. 047, 10117, Berlin",52.5101855,13.3872048
1,Mitte,1010360,Kita Rheinsberger Str. 34/35,Rheinsberger Str. 034- 35,10435,449 34 59,103.0,Kindertagesstätte,1318,Kinder im Kiez gGmbH,Sonstiger freier Träger,"Rheinsberger Str. 034- 35, 10435, Berlin",52.5381175,13.4011261
1,Mitte,1010390,Kita Pfiffikus,Rückerstr. 002,10119,283057224,150.0,Kindertagesstätte,1205,BIK e.V. Berliner Institut für Kleinkindpädagogik und familienbegleitende Kinderbetreuung,Sonstiger freier Träger,"Rückerstr. 002, 10119, Berlin",52.5280804,13.4071691
1,Mitte,1010410,Kita Trauminsel,Schmidstr. 002,10179,2794009,90.0,Kindertagesstätte,1334,Forum Soziale Dienste GmbH,Sonstiger freier Träger,"Schmidstr. 002, 10179, Berlin",52.5085055,13.4177685
1,Mitte,1010450,Kita Villa Murkelmaier,Sebastianstr. 022,10179,2792668,94.0,Kindertagesstätte,1224,GFJ - gemeinnützige Gesellschaft für Familien- und Jugendhilfe mbH,Sonstiger freier Träger,"Sebastianstr. 022, 10179, Berlin",52.5084971,13.4088559
1,Mitte,1010460,Kita Pusteblume,Sebastianstr. 023,10179,279 22 10,86.0,Kindertagesstätte,1224,GFJ - gemeinnützige Gesellschaft für Familien- und Jugendhilfe mbH,Sonstiger freier Träger,"Sebastianstr. 023, 10179, Berlin",52.5084971,13.4088559
1,Mitte,1010470,Kita Veteranenstr. 10/Kigä City,Veteranenstr. 010,10119,47378193,133.0,Kindertagesstätte,120,Kindergärten City,Eigenbetrieb,"Veteranenstr. 010, 10119, Berlin",52.5334784,13.4026828
1,Mitte,1010560,Kita St. Elisabeth,Elisabethkirchstr. 021,10115,449 65 27,125.0,Kindertagesstätte,5425,Ev. Kirchenkreisverband für Kindertageseinrichtungen Berlin Mitte-Nord,Diakonisches Werk,"Elisabethkirchstr. 021, 10115, Berlin",52.5330331,13.3952048
1,Mitte,1010570,Zions-Kindergarten,Griebenowstr. 016,10435,449 04 16,85.0,Kindertagesstätte,5425,Ev. Kirchenkreisverband für Kindertageseinrichtungen Berlin Mitte-Nord,Diakonisches Werk,"Griebenowstr. 016, 10435, Berlin",52.5360831,13.4054009
1,Mitte,1010580,Ev. Kita Sophien,Große Hamburger Str. 028,10115,24342439,84.0,Kindertagesstätte,5425,Ev. Kirchenkreisverband für Kindertageseinrichtungen Berlin Mitte-Nord,Diakonisches Werk,"Große Hamburger Str. 028, 10115, Berlin",52.525813,13.398713
1,Mitte,1010590,Kindergarten Alegria Jardin infantil,Mohrenstr. 007,10117,030 51055655,100.0,Kindertagesstätte,1301,Alegria Kiga gGmbH,Sonstiger freier Träger,"Mohrenstr. 007, 10117, Berlin",52.5120359,13.388966
1,Mitte,1010620,Kita Habersaathstraße,Habersaathstr. 005,10115,282 35 35,90.0,Kindertagesstätte,1312,INA.KINDER.GARTEN gGmbH,Sonstiger freier Träger,"Habersaathstr. 005, 10115, Berlin",52.5324615,13.3792391
1,Mitte,1010630,Kita Kinderinsel,Eichendorffstr. 017,10115,41716928,30.0,Kindertagesstätte,1310,Kinderinsel e. V. Inselnest,Sonstiger freier Träger,"Eichendorffstr. 017, 10115, Berlin",52.5294319,13.3879395
1,Mitte,1010640,Kinderladen Rosenthaler Vorstadt,Wolliner Str. 060,10435,030 5471 3948,19.0,Eltern-Initiativ-Kindertagesstätte,1152,Kinderladen Rosenthaler Vorstadt e.V.,EKT,"Wolliner Str. 060, 10435, Berlin",52.5388953,13.4022627
1,Mitte,1010720,Kita Fürstenberger Str. 4/5/Kigä City,Fürstenberger Str. 004,10435,34620678,180.0,Kindertagesstätte,120,Kindergärten City,Eigenbetrieb,"Fürstenberger Str. 004, 10435, Berlin",52.5372065,13.4036865
1,Mitte,1010810,EKT - Rosinante,Strelitzer Str. 071,10115,01636939419,17.0,Eltern-Initiativ-Kindertagesstätte,1173,Rosinante e.V.,EKT,"Strelitzer Str. 071, 10115, Berlin",52.5373123,13.3933943
1,Mitte,1010830,"EKT - ""Pippi Langstrumpf""",Krausnickstr. 003A,10115,2479252,21.0,Eltern-Initiativ-Kindertagesstätte,508,Kinderladen Pippi Langstrumpf e.V.,EKT,"Krausnickstr. 003A, 10115, Berlin",52.5252297,13.3974138
1,Mitte,1010850,Kita Cavalo-Marinho/Portubi e.V.,Anklamer Str. 046,10115,4849 1840,30.0,Kindertagesstätte,1332,PORTUBI e. V.,Sonstiger freier Träger,"Anklamer Str. 046, 10115, Berlin",52.5341301,13.3944427
1,Mitte,1010890,Kindergarten Alegria,Voßstr. 012,10117,030 51055655,45.0,Kindertagesstätte,1301,Alegria Kiga gGmbH,Sonstiger freier Träger,"Voßstr. 012, 10117, Berlin",52.5109006,13.3789008
1,Mitte,1010900,Fliederhof Waldorfkindergarten Berlin-Mitte,Zionskirchstr. 049,10119,40006900,43.0,Eltern-Initiativ-Kindertagesstätte,1368,Waldorfkindergarten Fliederhof Berlin-Mitte e.V.,EKT,"Zionskirchstr. 049, 10119, Berlin",52.5349371,13.4043224
1,Mitte,1010940,EKT NaturKindergarten Berlin Mitte,Krausnickstr. 011,10115,27596089,19.0,Eltern-Initiativ-Kindertagesstätte,1388,Initiative zur Gründung eines Naturkindergartens in Berlin Mitte e.V.,EKT,"Krausnickstr. 011, 10115, Berlin",52.5252297,13.3974138
1,Mitte,1010950,Musikkindergarten Berlin,Leipziger Str. 041,10117,030-70084892,135.0,Kindertagesstätte,1713,MUSIKKINDERGARTEN BERLIN e.V. c/o Staatsoper im Schillertheater,Sonstiger freier Träger,"Leipziger Str. 041, 10117, Berlin",52.5101855,13.3872048
1,Mitte,1010960,Schülerladen Paul Kirschkern,Anklamer Str. 029,10115,017643320882,25.0,Eltern-Initiativ-Kindertagesstätte,772,Kirschkern e.V.,Sonstiger freier Träger,"Anklamer Str. 029, 10115, Berlin",52.5341301,13.3944427
1,Mitte,1010980,Berlin Metropolitan School,Linienstr. 122-124,10115,887273918,140.0,Eltern-Initiativ-Kindertagesstätte,7373,Berlin Metropolitan School gGmbH,Sonstiger freier Träger,"Linienstr. 122-124, 10115, Berlin",52.5263483,13.388694
1,Mitte,1011000,Lauder Nitzan Kindergarten Yeshivat Beit Zion-Lauder Jüdisches Lehrhaus,Brunnenstr. 033,10115,405046925,70.0,Kindertagesstätte,1391,Lauder Yeshurun gGmbH,Sonstiger freier Träger,"Brunnenstr. 033, 10115, Berlin",52.5354718,13.3978362
1,Mitte,1011020,Kita CASA AZUL - MAISON BLEUE,Reinhardtstr. 031,10117,24083164,45.0,Kindertagesstätte,7393,CASA AZUL - BLAUES HAUS e.V.,Sonstiger freier Träger,"Reinhardtstr. 031, 10117, Berlin",52.5229798,13.3820692
1,Mitte,1011030,Kita Torstraße,Torstr. 134,10119,24628214,102.0,Kindertagesstätte,7434,"Be Smart Academy ""Alte Seifenfabrik"" gGmbH",Sonstiger freier Träger,"Torstr. 134, 10119, Berlin",52.5293472,13.3998002
1,Mitte,1011050,Kita im BMFSFJ,Glinkastr. 024,10117,030 325 144 85,20.0,Kindertagesstätte,1318,Kinder im Kiez gGmbH,Sonstiger freier Träger,"Glinkastr. 024, 10117, Berlin",52.514437,13.3862338
1,Mitte,1011090,El mundo de los ninos,Brunnenstr. 030,10119,015775764079,42.0,Kindertagesstätte,7502,El mundo de los ninos e. V.,Sonstiger freier Träger,"Brunnenstr. 030, 10119, Berlin",52.5348591,13.3980598
1,Mitte,1011140,Kinderladen Piraterie,Anklamer Str. 022,10115,0176 10281206,20.0,Eltern-Initiativ-Kindertagesstätte,7773,Menkenke e. V.,Sonstiger freier Träger,"Anklamer Str. 022, 10115, Berlin",52.5341301,13.3944427
1,Mitte,1011150,Kita Adalbertstraße 24,Adalbertstr. 024,10179,03040054204,30.0,Kindertagesstätte,643,Gemeindeaufbauprojekt Kreuzberg Ost e.V.,EKT,"Adalbertstr. 024, 10179, Berlin",52.5051675,13.4220289
1,Mitte,1011160,FRÖBEL Kindergarten Mittendrin,Borsigstr. 032/34,10115,030 28500856,200.0,Kindertagesstätte,1227,Fröbel Bildung und Erziehung gGmbH,Sonstiger freier Träger,"Borsigstr. 032/34, 10115, Berlin",52.5285884,13.3907999
1,Mitte,1011170,Kinderinsel MITTEndrin,Garnisonkirchplatz 002,10178,24723369,23.0,Kindertagesstätte,7875,Kinderinsel MITTEndrin - Kita am Hackeschen Markt gGmbH,Sonstiger freier Träger,"Garnisonkirchplatz 002, 10178, Berlin",52.521720099999996,13.402276294020243
1,Mitte,1011180,Kita im BMAS,Wilhelmstr. 050,10117,030 325 144 85,18.0,Kindertagesstätte,1318,Kinder im Kiez gGmbH,Sonstiger freier Träger,"Wilhelmstr. 050, 10117, Berlin",52.518071,13.3804485
1,Mitte,1011190,Kila Spreepferdchen,Köpenicker Str. 045,10179,24088849,23.0,Kindertagesstätte,7994,abc city kids e. V.,Sonstiger freier Träger,"Köpenicker Str. 045, 10179, Berlin",52.5086297,13.4251906
1,Mitte,1011210,BCS Kindergarten Preschool,Invalidenstr. 130,10115,688332340,320.0,Kindertagesstätte,7409,EBS-Europäische Bildungsstiftung gGmbH,Sonstiger freier Träger,"Invalidenstr. 130, 10115, Berlin",52.531410199999996,13.389025752057286
1,Mitte,1011220,Kita im BMEL,Wilhelmstr. 054,10117,030 325 144 85,15.0,Kindertagesstätte,1318,Kinder im Kiez gGmbH,Sonstiger freier Träger,"Wilhelmstr. 054, 10117, Berlin",52.518071,13.3804485
1,Mitte,1011230,Kinderinsel Nebenan,Garnisonkirchplatz 002,10178,24723369,25.0,Kindertagesstätte,8074,Kinderinsel am Garnisonkirchplatz gUG (haftungsbeschränkt),Sonstiger freier Träger,"Garnisonkirchplatz 002, 10178, Berlin",52.521720099999996,13.402276294020243
1,Mitte,1011250,Kinderinsel Ziegelstraße,Ziegelstr. 027,10117,24723369,23.0,Kindertagesstätte,8128,Kinderinsel Ziegelstraße gUG (haftungsbeschränkt),Sonstiger freier Träger,"Ziegelstr. 027, 10117, Berlin",52.5234719,13.3897551
1,Mitte,1011260,Musikkindergarten Sternenklang,Rheinsberger Str. 056,10115,48496222,25.0,Kindertagesstätte,8241,Musikkindergarten Sternenklang gemeinnützige UG (haftungsbeschränkt),Sonstiger freier Träger,"Rheinsberger Str. 056, 10115, Berlin",52.5377814,13.399894
1,Mitte,1011270,Kita jurella am Park,Chausseestr. 050B,10115,0179 5368246,54.0,Kindertagesstätte,8250,jurella gemeinnützige Unternehmergesellschaft (haftungsbeschränkt),Sonstiger freier Träger,"Chausseestr. 050B, 10115, Berlin",52.527637,13.3867759
1,Mitte,1011280,El mundo de los ninos,Fehrbelliner Str. 051,10119,03048492077,65.0,Kindertagesstätte,7502,El mundo de los ninos e. V.,Sonstiger freier Träger,"Fehrbelliner Str. 051, 10119, Berlin",52.5320888,13.4067281
1,Mitte,1011290,Kita Spreefeld,Wilhelmine-Gemberg-Weg 010,10179,030 92036752,25.0,Kindertagesstätte,8071,Juwo - Kita gGmbH,Sonstiger freier Träger,"Wilhelmine-Gemberg-Weg 010, 10179, Berlin",52.5093196,13.4233788
1,Mitte,1011300,Kinderladen Emil Kirschkern,Ackerstr. 003,10115,017643327555,25.0,Kindertagesstätte,772,Kirschkern e.V.,Sonstiger freier Träger,"Ackerstr. 003, 10115, Berlin",52.5346617,13.3917376
1,Mitte,1011310,Kita Steinstraße 27,Steinstr. 027,10119,40006900,25.0,Kindertagesstätte,1368,Waldorfkindergarten Fliederhof Berlin-Mitte e.V.,EKT,"Steinstr. 027, 10119, Berlin",52.5271753,13.4043828
1,Mitte,1011320,Kita BMBF,Kapelle-Ufer 002,10117,0160 3758951,12.0,Kindertagesstätte,1227,Fröbel Bildung und Erziehung gGmbH,Sonstiger freier Träger,"Kapelle-Ufer 002, 10117, Berlin",52.5234393,13.373545
1,Mitte,1011340,Alegria Kiga,Mohrenstr. 011,10117,030 51055655,48.0,Kindertagesstätte,1301,Alegria Kiga gGmbH,Sonstiger freier Träger,"Mohrenstr. 011, 10117, Berlin",52.5120359,13.388966
1,Mitte,1011350,Kita am Alex,Wadzeckstr. 004,10178,40042020,100.0,Kindertagesstätte,8875,Mahalo gGmbH,Sonstiger freier Träger,"Wadzeckstr. 004, 10178, Berlin",52.5244437,13.4179216
1,Mitte,1011360,Kita Jacoby-Schwalbe,Jacobystr. 004,10179,225027940,105.0,Kindertagesstätte,8575,casa bambini - Gesellschaft zur Förderung und Begleitung von Kindesentwicklung mbH,Sonstiger freier Träger,"Jacobystr. 004, 10179, Berlin",52.5201442,13.4197896
1,Mitte,1011370,Eschkol Kindergarten,Brunnenstr. 033,10115,030405046918,25.0,Kindertagesstätte,8518,Kahal Adass Jisroel KiTa gemeinnützige UG (haftungsbeschränkt),Sonstiger freier Träger,"Brunnenstr. 033, 10115, Berlin",52.5354718,13.3978362
1,Mitte,1011380,Jump Bilingual Kindergarten,Wilhelmstr. 088,10117,47051700,20.0,Kindertagesstätte,8648,Jump Bilingual Kindergarten gUG,Sonstiger freier Träger,"Wilhelmstr. 088, 10117, Berlin",52.518071,13.3804485
1,Mitte,1011390,Jump Bilingual Kindergarten,Bergstr. 079,10115,47051691,42.0,Kindertagesstätte,8648,Jump Bilingual Kindergarten gUG,Sonstiger freier Träger,"Bergstr. 079, 10115, Berlin",52.5305112,13.3949389
1,Mitte,1011400,FRÖBEL - Kindergarten Charité Mitte,Invalidenstr. 103a,10115,030 28094011,70.0,Kindertagesstätte,1227,Fröbel Bildung und Erziehung gGmbH,Sonstiger freier Träger,"Invalidenstr. 103a, 10115, Berlin",52.5298349,13.3807993
1,Mitte,1011410,Kita Feuerfalter,Chausseestr. 084,10115,(030) 120 83 21 22,28.0,Kindertagesstätte,8000,SOCIUS - Die Bildungspartner gemeinnützige GmbH,Sonstiger freier Träger,"Chausseestr. 084, 10115, Berlin",52.527637,13.3867759
1,Mitte,1011420,Kleiner Fratz,Alexandrinenstr. 056,10179,28444482,55.0,Kindertagesstätte,627,Kleiner Fratz GmbH,Sonstiger freier Träger,"Alexandrinenstr. 056, 10179, Berlin",52.5067128,13.4091701
1,Mitte,1011430,El Mundo de Los Ninos,Hirtenstr. 012,10178,21725432,13.0,Kindertagesstätte,8701,El mundo de los ninos gGmbH,Sonstiger freier Träger,"Hirtenstr. 012, 10178, Berlin",52.5259143,13.4109486
1,Mitte,1011440,FRÖBEL-Kindergarten,Jägerstr. 025,10117,030 20075362,30.0,Kindertagesstätte,1227,Fröbel Bildung und Erziehung gGmbH,Sonstiger freier Träger,"Jägerstr. 025, 10117, Berlin",52.5136216,13.385686
1,Mitte,1011460,Kita Wasserflöhe,An der Kieler Brücke 031,10115,030 8169013940,60.0,Kindertagesstätte,8194,Johanniter-Unfall-Hilfe e. V. Regionalverband Berlin,Diakonisches Werk,"An der Kieler Brücke 031, 10115, Berlin",52.5361052,13.3683371
1,Mitte,1011470,Kita Schmidchen,Schmidstr. 004,10179,40362060,79.0,Kindertagesstätte,1339,Kinder- und Jugend der Volkssolidarität Berlin gGmbH,Sonstiger freier Träger,"Schmidstr. 004, 10179, Berlin",52.5085055,13.4177685
1,Mitte,1011480,FRÖBEL -Kita im BMG,Mauerstr. 029,10117,030 184411970,15.0,Kindertagesstätte,1227,Fröbel Bildung und Erziehung gGmbH,Sonstiger freier Träger,"Mauerstr. 029, 10117, Berlin",52.5089265,13.388683
1,Mitte,1020010,Kita Fantasia,Bredowstr. 027A,10551,3989 5301,135.0,Kindertagesstätte,107,Orte für Kinder GmbH,Sonstiger freier Träger,"Bredowstr. 027A, 10551, Berlin",52.5316342,13.3400352
1,Mitte,1020020,Kita Paradies für Kinder,Calvinstr. 016,10557,3948 0196,98.0,Kindertagesstätte,1296,Jugend- und Sozialwerk gGmbH,Sonstiger freier Träger,"Calvinstr. 016, 10557, Berlin",52.524035,13.3523028
1,Mitte,1020040,Kita Havelberger Str. 21/Kigä City,Havelberger Str. 021,10559,39494392,158.0,Kindertagesstätte,120,Kindergärten City,Eigenbetrieb,"Havelberger Str. 021, 10559, Berlin",52.5341048,13.3471703
1,Mitte,1020050,Kita/Kinder in Bewegung (KiB),Klopstockstr. 029,10557,3640 9507,93.0,Kindertagesstätte,1329,Kinder in Bewegung gGmbH Gemeinnützige Kindergarten-Trägergesellschaft des Berliner Sports,Sonstiger freier Träger,"Klopstockstr. 029, 10557, Berlin",52.5137394,13.3379838
1,Mitte,1020060,Evangelische Kindertagesstätte St. Johannis der Gemeinde Tiergarten,Alt-Moabit 025,10559,39889094,75.0,Kindertagesstätte,450,Ev. Kirchengemeinde Tiergarten,Diakonisches Werk,"Alt-Moabit 025, 10559, Berlin",52.5237999,13.3549748
1,Mitte,1020080,Kita Birkelinchen/Ev. Kirchengem. Heilige-Geist,Birkenstr. 060,10559,44724023,30.0,Kindertagesstätte,451,Ev. Kirchengemeinde Heilige-Geist,Diakonisches Werk,"Birkenstr. 060, 10559, Berlin",52.5304461,13.3484235
1,Mitte,1020090,KITA Sonnenschein,Pohlstr. 087,10785,(030) 23005178,140.0,Kindertagesstätte,1355,Käpt'n Browser gemeinnützige Gesellschaft mit beschränkter Haftung,Sonstiger freier Träger,"Pohlstr. 087, 10785, Berlin",52.5001049,13.3695411
1,Mitte,1020100,Kita Rathenower Str. 15/Kigä City,Rathenower Str. 015,10559,74780168,200.0,Kindertagesstätte,120,Kindergärten City,Eigenbetrieb,"Rathenower Str. 015, 10559, Berlin",52.5270999,13.3549495
1,Mitte,1020110,Kita Otto,Ottostr. 016,10555,3927979,45.0,Kindertagesstätte,5425,Ev. Kirchenkreisverband für Kindertageseinrichtungen Berlin Mitte-Nord,Diakonisches Werk,"Ottostr. 016, 10555, Berlin",52.5253462,13.3351039
1,Mitte,1020160,Ev. Kita Erlöser,Wikingerufer 009,10555,3912489,60.0,Kindertagesstätte,5425,Ev. Kirchenkreisverband für Kindertageseinrichtungen Berlin Mitte-Nord,Diakonisches Werk,"Wikingerufer 009, 10555, Berlin",52.5219336,13.3302177
1,Mitte,1020180,Kita Holsteiner Ufer 12/Kigä City,Holsteiner Ufer 012,10557,36409506,115.0,Kindertagesstätte,120,Kindergärten City,Eigenbetrieb,"Holsteiner Ufer 012, 10557, Berlin",52.5206849,13.3488388
1,Mitte,1020200,Spreekita,Paulstr. 020D,10557,22635770,110.0,Kindertagesstätte,5425,Ev. Kirchenkreisverband für Kindertageseinrichtungen Berlin Mitte-Nord,Diakonisches Werk,"Paulstr. 020D, 10557, Berlin",52.5182322,13.3549681
1,Mitte,1020210,Kita der Kath. Kirchengem. St. Laurentius,Bandelstr. 041,10559,39783811,65.0,Kindertagesstätte,9006,Pfarrei St. Elisabeth Berlin,Deutscher Caritasverband,"Bandelstr. 041, 10559, Berlin",52.5268078,13.3499122
1,Mitte,1020230,EKT - Cocorico et Co,Kluckstr. 029,10785,25799626,19.0,Eltern-Initiativ-Kindertagesstätte,562,COCORICO et Co. e. V.,EKT,"Kluckstr. 029, 10785, Berlin",52.5037269,13.3616279
1,Mitte,1020240,Kita Alt-Moabit 117/Kigä City,Alt-Moabit 117,10559,39805060,105.0,Kindertagesstätte,120,Kindergärten City,Eigenbetrieb,"Alt-Moabit 117, 10559, Berlin",52.52346085,13.354500054874965
1,Mitte,1020280,AWO Kita Schmetterling,Turmstr. 071,10551,397 41 995,65.0,Kindertagesstätte,150,Arbeiterwohlfahrt Kreisverband Berlin-Mitte e.V.,Arbeiterwohlfahrt,"Turmstr. 071, 10551, Berlin",52.527415,13.3289313
1,Mitte,1020310,EKT - Frecher Spatz,Elberfelder Str. 018,10555,391 45 40,20.0,Eltern-Initiativ-Kindertagesstätte,636,Frecher Spatz e.V.,EKT,"Elberfelder Str. 018, 10555, Berlin",52.5237354,13.3361538
1,Mitte,1020390,Kita des Deutschen Bundestages,Otto-von-Bismarck-Allee 002,10557,227-33395,176.0,Kindertagesstätte,1654,Deutscher Bundestag,Betriebskita,"Otto-von-Bismarck-Allee 002, 10557, Berlin",52.5209207,13.3704992
1,Mitte,1020440,Kinderladen Stoppelhopser,Quitzowstr. 136,10559,395 75 78,25.0,Eltern-Initiativ-Kindertagesstätte,1006,Stoppelhopser e.V.,EKT,"Quitzowstr. 136, 10559, Berlin",52.5351854,13.3515648
1,Mitte,1020480,Kita Lehrter Straße 40,Lehrter Str. 040,10557,39703022,74.0,Kindertagesstätte,120,Kindergärten City,Eigenbetrieb,"Lehrter Str. 040, 10557, Berlin",52.5257452,13.3652341
1,Mitte,1020490,EKT - Maluch,Stephanstr. 017,10559,3967815,30.0,Eltern-Initiativ-Kindertagesstätte,1038,Verein zur Förderung und Integration polnischer Kinder in der Berliner Gesellschaft e.V.,EKT,"Stephanstr. 017, 10559, Berlin",52.5325955,13.3448842
1,Mitte,1020500,EKT - Perle,Wilsnacker Str. 014,10559,3945859,20.0,Eltern-Initiativ-Kindertagesstätte,897,Perle e.V.,EKT,"Wilsnacker Str. 014, 10559, Berlin",52.5264242,13.3517236
1,Mitte,1020510,Kita Safina,Rostocker Str. 026,10553,39480386,20.0,Kindertagesstätte,8428,HadeWe-Integra gemeinnützige GmbH,Sonstiger freier Träger,"Rostocker Str. 026, 10553, Berlin",52.5308914,13.3266715
1,Mitte,1020520,EKT Flocke,Bochumer Str. 011,10555,3922126,25.0,Eltern-Initiativ-Kindertagesstätte,626,Elterninitiativ-Kindertagesstätten (EKT) Verein Flocke e.V.,EKT,"Bochumer Str. 011, 10555, Berlin",52.5230689,13.3381768
1,Mitte,1020550,EKT - Drunter und Drüber,Stromstr. 058,10551,3951860,23.0,Eltern-Initiativ-Kindertagesstätte,602,EKT Drunter und Drüber Stromstraße 58 e.V.,EKT,"Stromstr. 058, 10551, Berlin",52.5263332,13.3430704
1,Mitte,1020580,EKT Schneckenhaus,Flemingstr. 011,10557,3921261,18.0,Eltern-Initiativ-Kindertagesstätte,636,Frecher Spatz e.V.,EKT,"Flemingstr. 011, 10557, Berlin",52.520934,13.3582894
1,Mitte,1020620,EKT - ALIBABA,Waldstr. 015,10551,396 26 64,15.0,Eltern-Initiativ-Kindertagesstätte,521,Ali Baba e.V.,EKT,"Waldstr. 015, 10551, Berlin",52.5325116,13.3318611
1,Mitte,1020630,EKT Regenbogen,Calvinstr. 013,10557,3935555,18.0,Eltern-Initiativ-Kindertagesstätte,921,Eltern-Initiativ-Kindertagesstätte Regenbogen e.V.,EKT,"Calvinstr. 013, 10557, Berlin",52.524035,13.3523028
1,Mitte,1020640,EKT - Kinderladen Badehaus,Wilsnacker Str. 062,10559,3946069,26.0,Eltern-Initiativ-Kindertagesstätte,744,Kinderladen Badehaus e.V.,EKT,"Wilsnacker Str. 062, 10559, Berlin",52.5264242,13.3517236
1,Mitte,1020670,"EKT - Panther, Tiger und Co.",Lübecker Str. 013,10559,030/3948183,25.0,Eltern-Initiativ-Kindertagesstätte,1054,VSU-Verein für Sozial- und Umweltpolitik Berlin e.V.,EKT,"Lübecker Str. 013, 10559, Berlin",52.5276596,13.3453744
1,Mitte,1020680,EKT - Sagaland,Quitzowstr. 125,10559,395 30 52,18.0,Eltern-Initiativ-Kindertagesstätte,942,Sagaland e.V.,EKT,"Quitzowstr. 125, 10559, Berlin",52.5348621,13.3486962
1,Mitte,1020700,Kita Emdener Str.,Emdener Str. 028,10551,3951367,50.0,Kindertagesstätte,8662,Forum Soziale Dienste Kita I GmbH,Sonstiger freier Träger,"Emdener Str. 028, 10551, Berlin",52.5300319,13.3340575
1,Mitte,1020730,Kita Huttenstr. 22A/Kigä City,Huttenstr. 022A,10553,3443521,85.0,Kindertagesstätte,120,Kindergärten City,Eigenbetrieb,"Huttenstr. 022A, 10553, Berlin",52.5273485,13.3284485
1,Mitte,1020740,Kita Lützowstraße,Lützowstr. 061,10785,230 05 177,115.0,Kindertagesstätte,1312,INA.KINDER.GARTEN gGmbH,Sonstiger freier Träger,"Lützowstr. 061, 10785, Berlin",52.5050057,13.3554023
1,Mitte,1020750,Kita Lüneburger Straße,Lüneburger Str. 014,10557,394 80 391,95.0,Kindertagesstätte,1312,INA.KINDER.GARTEN gGmbH,Sonstiger freier Träger,"Lüneburger Str. 014, 10557, Berlin",52.5214378,13.3602159
1,Mitte,1020760,EKT - Arche Moabit,Huttenstr. 031,10553,349 58 38,32.0,Eltern-Initiativ-Kindertagesstätte,533,Arche Moabit e.V.,EKT,"Huttenstr. 031, 10553, Berlin",52.5273485,13.3284485
